Generation,MaxFitness,SurvivedCount
0,1.00000,260.00000
1,1.56250,274.00000
2,1.77778,256.00000
3,2.25000,256.00000
4,4.00000,292.00000
5,5.44444,302.00000
6,6.25000,349.00000
7,9.00000,339.00000
8,9.46746,354.00000
9,9.50694,345.00000
10,9.55372,348.00000
11,9.61000,335.00000
12,9.67901,337.00000
13,9.76563,343.00000
14,9.87755,337.00000
15,10.02778,350.00000
16,10.24000,334.00000
17,10.56250,349.00000
18,11.11111,328.00000
19,12.25000,342.00000
20,16.00000,323.00000
21,18.06250,325.00000
22,18.77778,332.00000
23,20.25000,333.00000
24,25.00000,330.00000
25,27.04000,309.00000
26,27.04000,326.00000
27,28.44444,296.00000
28,27.56250,294.00000
29,28.44444,289.00000
30,30.25000,284.00000
31,28.44444,305.00000
32,28.44444,291.00000
33,30.25000,287.00000
34,28.44444,275.00000
35,36.00000,273.00000
36,36.00000,257.00000
37,36.80444,238.00000
38,36.86224,253.00000
39,36.92899,256.00000
40,36.92899,262.00000
41,37.00694,230.00000
42,37.09917,243.00000
43,37.09917,236.00000
44,37.21000,269.00000
45,37.34568,298.00000
46,37.51563,303.00000
47,37.73469,335.00000
48,38.02778,315.00000
49,38.44000,350.00000
50,39.06250,357.00000
51,40.11111,339.00000
52,42.25000,327.00000
53,40.11111,340.00000
54,42.25000,326.00000
55,49.00000,338.00000
56,50.17361,345.00000
57,50.28099,343.00000
58,50.41000,314.00000
59,50.56790,322.00000
60,50.76563,320.00000
61,50.76563,303.00000
62,51.02041,260.00000
63,50.76563,275.00000
64,51.02041,241.00000
65,51.02041,245.00000
66,51.36111,237.00000
67,51.84000,258.00000
68,52.56250,268.00000
69,53.77778,254.00000
70,53.77778,280.00000
71,56.25000,294.00000
72,56.25000,290.00000
73,64.00000,343.00000
74,65.34028,301.00000
75,65.34028,318.00000
76,68.06250,292.00000
77,69.44444,274.00000
78,65.46281,277.00000
79,72.25000,293.00000
80,65.79012,297.00000
81,65.79012,290.00000
82,66.01563,277.00000
83,66.01563,275.00000
84,66.01563,254.00000
85,66.30612,240.00000
86,66.30612,234.00000
87,66.30612,234.00000
88,66.01563,223.00000
89,65.79012,222.00000
90,65.79012,222.00000
91,65.79012,212.00000
92,65.79012,217.00000
93,65.79012,197.00000
94,66.01563,189.00000
95,65.79012,208.00000
96,65.61000,202.00000
97,66.30612,223.00000
98,66.01563,201.00000
99,65.79012,204.00000
100,65.61000,242.00000
101,65.79012,231.00000
102,66.01563,235.00000
103,66.01563,225.00000
104,66.30612,255.00000
105,66.30612,214.00000
106,66.30612,238.00000
107,67.24000,232.00000
108,66.69444,216.00000
109,67.24000,232.00000
110,67.24000,214.00000
111,68.06250,217.00000
112,68.06250,238.00000
113,69.44444,249.00000
114,72.25000,273.00000
115,81.00000,266.00000
116,81.00000,307.00000
117,85.56250,288.00000
118,85.56250,287.00000
119,87.11111,275.00000
120,87.11111,249.00000
121,100.00000,250.00000
122,100.00000,280.00000
123,100.00000,254.00000
124,103.36111,264.00000
125,110.25000,255.00000
126,121.59533,270.00000
127,121.61188,248.00000
128,110.25000,262.00000
129,110.25000,246.00000
130,121.00000,232.00000
131,103.36111,227.00000
132,110.25000,248.00000
133,103.36111,258.00000
134,100.00000,266.00000
135,104.04000,255.00000
136,102.51563,230.00000
137,103.36111,236.00000
138,103.36111,243.00000
139,102.51563,230.00000
140,102.01000,257.00000
141,100.00000,228.00000
142,90.25000,213.00000
143,90.25000,176.00000
144,90.25000,224.00000
145,90.25000,235.00000
146,90.25000,245.00000
147,90.25000,264.00000
148,90.25000,223.00000
149,87.11111,233.00000
150,90.25000,246.00000
151,100.00000,224.00000
152,90.25000,223.00000
153,90.25000,220.00000
154,100.00000,222.00000
155,100.00000,218.00000
156,121.00000,237.00000
157,121.00000,240.00000
158,121.00000,221.00000
159,121.56476,233.00000
160,121.00000,260.00000
161,121.59533,297.00000
162,121.61188,291.00000
163,121.59533,273.00000
164,121.62939,267.00000
165,121.61188,269.00000
166,121.66758,254.00000
167,121.62939,242.00000
168,121.61188,271.00000
169,121.59533,248.00000
170,121.59533,224.00000
171,121.62939,213.00000
172,121.59533,215.00000
173,121.59533,197.00000
174,121.61188,203.00000
175,121.64792,228.00000
176,121.62939,234.00000
177,121.62939,224.00000
178,121.64792,246.00000
179,121.64792,255.00000
180,121.64792,249.00000
181,121.64792,232.00000
182,121.64792,249.00000
183,121.66758,302.00000
184,121.71072,316.00000
185,121.68848,287.00000
186,121.71072,329.00000
187,121.66758,298.00000
188,121.73444,315.00000
189,121.71072,356.00000
190,121.73444,319.00000
191,121.75981,341.00000
192,121.78699,313.00000
193,121.81619,334.00000
194,121.84763,348.00000
195,121.88160,323.00000
196,121.91840,346.00000
197,121.95841,340.00000
198,122.00207,320.00000
199,122.04989,318.00000
200,122.10250,330.00000
201,122.16066,311.00000
202,122.22531,346.00000
203,122.29758,343.00000
204,122.37891,325.00000
205,122.47111,351.00000
206,122.57653,344.00000
207,122.69822,360.00000
208,122.84028,311.00000
209,123.00826,363.00000
210,123.21000,351.00000
211,123.45679,295.00000
212,123.76563,338.00000
213,124.16327,329.00000
214,124.69444,365.00000
215,125.44000,339.00000
216,126.56250,317.00000
217,128.44444,350.00000
218,132.25000,342.00000
219,144.00000,334.00000
