Generation,MaxFitness,SurvivedCount
0,0.06250,276.00000
1,0.11111,255.00000
2,0.25000,257.00000
3,1.00000,248.00000
4,1.56250,274.00000
5,1.77778,275.00000
6,2.25000,253.00000
7,4.00000,311.00000
8,5.44444,322.00000
9,6.25000,319.00000
10,9.00000,302.00000
11,16.00000,374.00000
12,17.64000,367.00000
13,18.06250,335.00000
14,18.77778,328.00000
15,18.77778,317.00000
16,20.25000,288.00000
17,25.00000,305.00000
18,27.04000,290.00000
19,27.56250,290.00000
20,28.44444,312.00000
21,28.44444,326.00000
22,28.44444,322.00000
23,36.00000,303.00000
24,36.00000,319.00000
25,36.00000,311.00000
26,37.73469,289.00000
27,38.02778,317.00000
28,38.44000,297.00000
29,39.06250,295.00000
30,39.06250,304.00000
31,40.11111,311.00000
32,49.00000,322.00000
33,49.00000,306.00000
34,49.00000,317.00000
35,51.84000,324.00000
36,51.84000,335.00000
37,52.56250,309.00000
38,53.77778,306.00000
39,53.77778,301.00000
40,53.77778,321.00000
41,56.25000,295.00000
42,56.25000,300.00000
43,56.25000,268.00000
44,64.00000,290.00000
45,56.25000,287.00000
46,64.00000,296.00000
47,64.76417,293.00000
48,64.76417,308.00000
49,64.76417,287.00000
50,64.80250,250.00000
51,64.84488,222.00000
52,64.89198,241.00000
53,64.89198,207.00000
54,64.89198,196.00000
55,64.94464,207.00000
56,65.00391,215.00000
57,64.94464,207.00000
58,64.94464,193.00000
59,64.89198,169.00000
60,64.94464,200.00000
61,65.00391,224.00000
62,64.94464,222.00000
63,64.89198,179.00000
64,64.89198,200.00000
65,64.89198,192.00000
66,64.94464,170.00000
67,64.89198,181.00000
68,64.94464,203.00000
69,64.94464,184.00000
70,64.89198,198.00000
71,64.94464,200.00000
72,64.89198,208.00000
73,64.94464,181.00000
74,64.94464,175.00000
75,64.89198,211.00000
76,65.00391,224.00000
77,64.94464,246.00000
78,65.00391,256.00000
79,65.00391,219.00000
80,64.94464,225.00000
81,65.00391,219.00000
82,65.00391,215.00000
83,65.00391,220.00000
84,65.00391,223.00000
85,65.07111,265.00000
86,65.14796,319.00000
87,65.23669,343.00000
88,65.14796,335.00000
89,65.23669,357.00000
90,65.34028,313.00000
91,65.46281,332.00000
92,65.61000,339.00000
93,65.79012,359.00000
94,66.01563,342.00000
95,66.30612,317.00000
96,66.69444,343.00000
97,67.24000,343.00000
98,68.06250,338.00000
99,69.44444,337.00000
100,72.25000,345.00000
101,81.00000,337.00000
102,83.26563,342.00000
103,83.59184,342.00000
104,84.02778,306.00000
105,84.02778,325.00000
106,85.56250,307.00000
107,85.56250,306.00000
108,85.56250,305.00000
109,85.56250,269.00000
110,87.11111,272.00000
111,87.11111,285.00000
112,90.25000,280.00000
113,90.25000,304.00000
114,104.04000,323.00000
115,100.00000,341.00000
116,103.36111,314.00000
117,103.36111,328.00000
118,103.36111,341.00000
119,104.04000,345.00000
120,104.04000,295.00000
121,106.77778,329.00000
122,106.77778,339.00000
123,121.00000,315.00000
124,110.25000,341.00000
125,105.06250,321.00000
126,106.77778,328.00000
127,106.77778,338.00000
128,106.77778,302.00000
129,106.77778,292.00000
130,110.25000,308.00000
131,121.00000,327.00000
132,123.00826,292.00000
133,121.00000,324.00000
134,122.69822,334.00000
135,123.00826,305.00000
136,123.21000,336.00000
137,123.21000,310.00000
138,123.45679,291.00000
139,123.76563,198.00000
140,123.76563,152.00000
141,123.76563,123.00000
142,123.76563,129.00000
143,123.76563,210.00000
144,124.16327,240.00000
145,123.45679,284.00000
146,123.45679,261.00000
147,123.21000,256.00000
148,123.21000,294.00000
149,123.21000,297.00000
150,123.21000,288.00000
151,123.45679,287.00000
152,123.45679,280.00000
153,123.76563,270.00000
154,123.45679,264.00000
155,123.76563,168.00000
156,123.76563,175.00000
157,123.45679,187.00000
158,123.76563,244.00000
159,123.45679,167.00000
160,123.76563,161.00000
161,123.45679,182.00000
162,123.45679,165.00000
163,123.76563,175.00000
164,124.16327,194.00000
165,124.16327,193.00000
166,124.16327,202.00000
167,124.16327,219.00000
168,124.69444,267.00000
169,124.69444,274.00000
170,125.44000,321.00000
171,125.44000,312.00000
172,126.56250,333.00000
173,126.56250,314.00000
174,128.44444,338.00000
175,128.44444,299.00000
176,128.44444,343.00000
177,132.25000,305.00000
178,132.25000,300.00000
179,144.00000,298.00000
180,144.00000,302.00000
