Generation,MaxFitness,SurvivedCount
0,0.01235,237.00000
1,0.01563,295.00000
2,0.02041,325.00000
3,0.02778,313.00000
4,0.04000,335.00000
5,0.06250,351.00000
6,0.11111,365.00000
7,0.25000,339.00000
8,1.00000,320.00000
9,1.30612,347.00000
10,1.36111,340.00000
11,1.44000,336.00000
12,1.56250,346.00000
13,1.77778,341.00000
14,2.25000,325.00000
15,4.00000,341.00000
16,6.25000,343.00000
17,9.00000,350.00000
18,11.11111,343.00000
19,12.25000,324.00000
20,16.00000,333.00000
21,16.00000,351.00000
22,20.25000,326.00000
23,25.00000,309.00000
24,25.00000,270.00000
25,28.44444,285.00000
26,28.44444,284.00000
27,30.25000,279.00000
28,30.25000,306.00000
29,30.25000,284.00000
30,36.00000,275.00000
31,30.25000,266.00000
32,28.44444,317.00000
33,30.25000,313.00000
34,36.00000,324.00000
35,39.06250,313.00000
36,37.00694,298.00000
37,37.09917,291.00000
38,39.06250,291.00000
39,37.21000,306.00000
40,37.09917,306.00000
41,37.21000,259.00000
42,37.21000,261.00000
43,37.34568,237.00000
44,37.51563,219.00000
45,37.34568,243.00000
46,37.51563,213.00000
47,37.34568,217.00000
48,37.73469,169.00000
49,37.73469,204.00000
50,38.02778,194.00000
51,38.02778,194.00000
52,38.02778,202.00000
53,38.02778,214.00000
54,38.44000,190.00000
55,40.11111,232.00000
56,40.11111,268.00000
57,42.25000,294.00000
58,49.00000,302.00000
59,52.56250,297.00000
60,53.77778,302.00000
61,56.25000,325.00000
62,56.25000,323.00000
63,64.00000,292.00000
64,64.00000,293.00000
65,65.07111,288.00000
66,65.00391,270.00000
67,65.00391,264.00000
68,64.00000,228.00000
69,65.00391,238.00000
70,65.00391,228.00000
71,65.00391,218.00000
72,64.00000,235.00000
73,65.00391,219.00000
74,64.00000,211.00000
75,64.00000,204.00000
76,56.25000,182.00000
77,64.00000,178.00000
78,56.25000,202.00000
79,64.00000,205.00000
80,56.25000,233.00000
81,56.25000,220.00000
82,64.00000,229.00000
83,64.00000,212.00000
84,56.25000,201.00000
85,64.89198,213.00000
86,65.14796,218.00000
87,56.25000,200.00000
88,64.00000,204.00000
89,64.00000,196.00000
90,65.23669,204.00000
91,65.00391,209.00000
92,65.07111,241.00000
93,65.07111,243.00000
94,65.07111,247.00000
95,65.07111,207.00000
96,65.07111,224.00000
97,65.07111,204.00000
98,65.07111,216.00000
99,65.14796,254.00000
100,65.07111,232.00000
101,65.07111,226.00000
102,65.14796,212.00000
103,65.14796,208.00000
104,65.14796,203.00000
105,65.14796,185.00000
106,65.23669,253.00000
107,65.14796,237.00000
108,65.07111,211.00000
109,65.23669,248.00000
110,65.14796,243.00000
111,65.14796,221.00000
112,65.23669,239.00000
113,65.14796,205.00000
114,65.14796,238.00000
115,65.14796,242.00000
116,65.23669,226.00000
117,65.07111,230.00000
118,65.23669,254.00000
119,65.14796,225.00000
120,65.14796,237.00000
121,65.14796,251.00000
122,65.23669,239.00000
123,65.14796,235.00000
124,65.07111,214.00000
125,65.00391,217.00000
126,65.07111,193.00000
127,65.07111,211.00000
128,65.14796,185.00000
129,65.07111,218.00000
130,65.14796,211.00000
131,65.14796,206.00000
132,65.23669,238.00000
133,65.14796,241.00000
134,65.14796,195.00000
135,65.14796,198.00000
136,65.14796,184.00000
137,65.23669,175.00000
138,65.14796,187.00000
139,65.07111,163.00000
140,65.14796,170.00000
141,65.34028,205.00000
142,65.14796,210.00000
143,65.14796,204.00000
144,65.61000,179.00000
145,65.46281,200.00000
146,65.23669,184.00000
147,65.34028,177.00000
148,65.23669,205.00000
149,65.23669,190.00000
150,65.34028,199.00000
151,65.34028,198.00000
152,65.34028,199.00000
153,65.23669,210.00000
154,65.34028,222.00000
155,65.14796,209.00000
156,65.23669,202.00000
157,65.23669,208.00000
158,65.23669,222.00000
159,65.34028,227.00000
160,65.23669,246.00000
161,65.14796,210.00000
162,65.23669,234.00000
163,65.14796,246.00000
164,65.14796,246.00000
165,65.07111,274.00000
166,65.14796,208.00000
167,65.23669,232.00000
168,65.07111,238.00000
169,65.14796,233.00000
170,65.23669,196.00000
171,65.23669,225.00000
172,65.07111,224.00000
173,65.14796,242.00000
174,65.14796,244.00000
175,65.23669,216.00000
176,65.23669,227.00000
177,65.23669,208.00000
178,65.23669,224.00000
179,65.07111,192.00000
180,65.34028,204.00000
181,65.23669,212.00000
182,65.46281,182.00000
183,65.07111,217.00000
184,65.14796,211.00000
185,65.14796,245.00000
186,65.07111,220.00000
187,65.14796,233.00000
188,65.14796,244.00000
189,65.14796,209.00000
190,65.14796,209.00000
191,65.23669,210.00000
192,65.14796,201.00000
193,65.23669,181.00000
194,65.34028,179.00000
195,65.07111,179.00000
196,65.14796,184.00000
197,65.46281,165.00000
198,65.34028,236.00000
199,65.23669,199.00000
200,65.23669,217.00000
201,65.23669,203.00000
202,65.23669,194.00000
203,65.23669,206.00000
204,65.14796,176.00000
205,65.14796,177.00000
206,65.23669,175.00000
207,65.23669,197.00000
208,65.23669,178.00000
209,65.14796,177.00000
210,65.14796,198.00000
211,65.23669,264.00000
212,65.46281,259.00000
213,65.34028,279.00000
214,65.79012,247.00000
215,66.01563,283.00000
216,66.01563,291.00000
217,66.30612,288.00000
218,66.69444,286.00000
219,68.06250,298.00000
220,67.24000,290.00000
221,69.44444,306.00000
222,69.44444,311.00000
223,72.25000,292.00000
224,72.25000,288.00000
225,81.00000,326.00000
226,81.00000,333.00000
227,81.00000,339.00000
228,90.25000,311.00000
229,90.25000,345.00000
230,100.00000,310.00000
231,110.25000,294.00000
232,110.25000,316.00000
233,110.25000,297.00000
234,121.00000,293.00000
235,122.37891,304.00000
236,122.47111,315.00000
237,122.47111,310.00000
238,122.37891,289.00000
239,122.37891,336.00000
240,122.47111,309.00000
241,122.69822,290.00000
242,122.57653,340.00000
243,122.47111,300.00000
244,122.47111,326.00000
245,122.57653,285.00000
246,122.57653,264.00000
247,122.57653,284.00000
248,122.57653,278.00000
249,122.47111,279.00000
250,122.37891,271.00000
251,122.37891,282.00000
252,122.37891,286.00000
253,122.47111,263.00000
254,122.37891,288.00000
255,122.47111,301.00000
256,122.47111,283.00000
257,122.57653,273.00000
258,122.57653,273.00000
259,122.69822,261.00000
260,122.69822,249.00000
261,122.84028,251.00000
262,122.57653,215.00000
263,122.47111,297.00000
264,122.37891,329.00000
265,122.57653,282.00000
266,122.47111,313.00000
267,122.57653,309.00000
268,122.84028,326.00000
269,122.84028,290.00000
270,123.21000,307.00000
271,123.00826,273.00000
272,123.45679,282.00000
273,123.45679,305.00000
274,123.45679,299.00000
275,124.16327,315.00000
276,124.16327,279.00000
277,125.44000,276.00000
278,125.44000,310.00000
279,125.44000,315.00000
280,126.56250,271.00000
281,128.44444,329.00000
282,128.44444,313.00000
283,128.44444,311.00000
284,132.25000,276.00000
285,144.00000,310.00000
286,144.00000,344.00000
