Generation,MaxFitness,SurvivedCount
0,0.01235,253.00000
1,0.01563,258.00000
2,0.02041,254.00000
3,0.02778,259.00000
4,0.04000,271.00000
5,0.06250,270.00000
6,0.11111,265.00000
7,0.25000,275.00000
8,1.00000,243.00000
9,1.44000,273.00000
10,1.56250,257.00000
11,1.77778,255.00000
12,2.25000,280.00000
13,4.00000,360.00000
14,4.69444,373.00000
15,4.84000,361.00000
16,5.06250,352.00000
17,5.44444,333.00000
18,6.25000,341.00000
19,9.00000,318.00000
20,12.25000,326.00000
21,16.00000,343.00000
22,18.06250,339.00000
23,20.25000,324.00000
24,25.00000,321.00000
25,25.00000,327.00000
26,27.04000,336.00000
27,27.04000,326.00000
28,30.25000,301.00000
29,28.44444,327.00000
30,30.25000,327.00000
31,36.00000,290.00000
32,36.00000,266.00000
33,42.25000,272.00000
34,42.25000,282.00000
35,42.25000,262.00000
36,49.00000,232.00000
37,42.25000,247.00000
38,50.76563,218.00000
39,42.25000,224.00000
40,42.25000,238.00000
41,40.11111,292.00000
42,49.00000,296.00000
43,49.00000,296.00000
44,49.00000,297.00000
45,49.00000,295.00000
46,50.28099,297.00000
47,50.28099,304.00000
48,50.17361,325.00000
49,50.41000,312.00000
50,50.41000,300.00000
51,50.41000,325.00000
52,50.56790,318.00000
53,50.41000,312.00000
54,50.41000,304.00000
55,50.56790,268.00000
56,50.56790,272.00000
57,50.56790,256.00000
58,50.76563,267.00000
59,50.56790,269.00000
60,51.02041,289.00000
61,51.02041,307.00000
62,51.84000,279.00000
63,51.84000,245.00000
64,52.56250,296.00000
65,52.56250,314.00000
66,52.56250,295.00000
67,53.77778,302.00000
68,56.25000,305.00000
69,64.00000,302.00000
70,64.00000,305.00000
71,72.25000,329.00000
72,81.00000,324.00000
73,83.26563,310.00000
74,83.59184,334.00000
75,83.26563,325.00000
76,84.02778,310.00000
77,84.02778,300.00000
78,84.02778,308.00000
79,85.56250,291.00000
80,84.64000,298.00000
81,90.25000,288.00000
82,84.64000,280.00000
83,84.02778,286.00000
84,84.64000,253.00000
85,87.11111,268.00000
86,84.02778,238.00000
87,84.64000,221.00000
88,102.01000,267.00000
89,85.56250,275.00000
90,100.00000,256.00000
91,85.56250,279.00000
92,85.56250,258.00000
93,100.00000,234.00000
94,84.64000,234.00000
95,83.59184,233.00000
96,83.59184,244.00000
97,83.26563,228.00000
98,84.02778,276.00000
99,83.59184,280.00000
100,83.59184,281.00000
101,83.59184,236.00000
102,83.59184,288.00000
103,84.02778,237.00000
104,83.59184,282.00000
105,83.01235,252.00000
106,83.26563,249.00000
107,84.64000,235.00000
108,83.26563,260.00000
109,83.59184,258.00000
110,83.59184,302.00000
111,83.59184,275.00000
112,87.11111,298.00000
113,85.56250,330.00000
114,84.02778,345.00000
115,84.64000,338.00000
116,87.11111,331.00000
117,87.11111,333.00000
118,87.11111,354.00000
119,90.25000,347.00000
120,100.00000,339.00000
121,100.00000,341.00000
122,102.01000,330.00000
123,102.23457,303.00000
124,102.51563,329.00000
125,102.51563,317.00000
126,102.87755,322.00000
127,102.87755,314.00000
128,102.87755,282.00000
129,102.87755,277.00000
130,103.36111,273.00000
131,103.36111,274.00000
132,102.51563,289.00000
133,102.51563,278.00000
134,102.87755,282.00000
135,103.36111,280.00000
136,105.06250,298.00000
137,105.06250,321.00000
138,104.04000,329.00000
139,104.04000,330.00000
140,105.06250,317.00000
141,105.06250,300.00000
142,106.77778,355.00000
143,110.25000,367.00000
144,110.25000,318.00000
145,122.04989,324.00000
146,121.00000,314.00000
147,122.04989,358.00000
148,122.04989,304.00000
149,122.04989,291.00000
150,122.10250,283.00000
151,122.10250,263.00000
152,122.16066,256.00000
153,122.22531,279.00000
154,122.22531,252.00000
155,122.22531,268.00000
156,122.22531,269.00000
157,122.22531,260.00000
158,122.22531,300.00000
159,122.22531,301.00000
160,122.22531,301.00000
161,122.22531,268.00000
162,122.22531,300.00000
163,122.29758,282.00000
164,122.29758,223.00000
165,122.37891,207.00000
166,122.29758,244.00000
167,122.29758,270.00000
168,122.22531,284.00000
169,122.29758,288.00000
170,122.37891,295.00000
171,122.29758,304.00000
172,122.37891,314.00000
173,122.37891,307.00000
174,122.47111,296.00000
175,122.57653,292.00000
176,122.69822,301.00000
177,122.69822,262.00000
178,122.84028,248.00000
179,122.69822,314.00000
180,122.69822,343.00000
181,122.84028,304.00000
182,123.00826,326.00000
183,123.00826,327.00000
184,123.45679,306.00000
185,123.21000,335.00000
186,123.45679,308.00000
187,123.45679,306.00000
188,123.45679,319.00000
189,123.76563,314.00000
190,123.76563,300.00000
191,124.16327,297.00000
192,124.69444,298.00000
193,124.16327,284.00000
194,125.44000,239.00000
195,125.44000,274.00000
196,126.56250,257.00000
197,128.44444,271.00000
198,128.44444,278.00000
199,128.44444,253.00000
200,128.44444,312.00000
201,132.25000,306.00000
202,128.44444,288.00000
203,132.25000,249.00000
204,144.00000,256.00000
205,144.00000,282.00000
