Generation,MaxFitness,SurvivedCount
0,0.01563,261.00000
1,0.02041,333.00000
2,0.02778,359.00000
3,0.04000,313.00000
4,0.06250,322.00000
5,0.11111,366.00000
6,0.25000,370.00000
7,1.00000,367.00000
8,1.36111,353.00000
9,1.44000,347.00000
10,1.56250,365.00000
11,1.77778,352.00000
12,2.25000,306.00000
13,4.00000,305.00000
14,4.84000,346.00000
15,5.06250,315.00000
16,5.06250,304.00000
17,5.06250,308.00000
18,5.44444,289.00000
19,6.25000,283.00000
20,9.00000,290.00000
21,9.00000,316.00000
22,10.24000,332.00000
23,10.56250,345.00000
24,12.25000,355.00000
25,16.00000,320.00000
26,16.00000,313.00000
27,18.06250,329.00000
28,18.06250,307.00000
29,18.77778,343.00000
30,20.25000,319.00000
31,25.00000,323.00000
32,25.00000,340.00000
33,26.44898,311.00000
34,26.69444,342.00000
35,27.04000,308.00000
36,27.56250,326.00000
37,28.44444,315.00000
38,30.25000,318.00000
39,30.25000,324.00000
40,36.00000,307.00000
41,36.86224,306.00000
42,36.92899,321.00000
43,36.92899,306.00000
44,36.92899,289.00000
45,36.92899,277.00000
46,37.09917,269.00000
47,37.00694,294.00000
48,37.09917,269.00000
49,37.09917,251.00000
50,37.00694,229.00000
51,37.21000,230.00000
52,37.21000,216.00000
53,37.09917,221.00000
54,37.21000,235.00000
55,37.09917,250.00000
56,37.34568,226.00000
57,37.21000,227.00000
58,37.21000,211.00000
59,37.73469,229.00000
60,37.34568,227.00000
61,37.51563,241.00000
62,38.02778,234.00000
63,37.73469,240.00000
64,38.02778,250.00000
65,38.44000,286.00000
66,39.06250,284.00000
67,40.11111,301.00000
68,42.25000,294.00000
69,42.25000,297.00000
70,42.25000,318.00000
71,52.56250,318.00000
72,53.77778,324.00000
73,56.25000,300.00000
74,56.25000,298.00000
75,65.79012,307.00000
76,64.00000,285.00000
77,65.79012,277.00000
78,68.06250,270.00000
79,68.06250,278.00000
80,68.06250,258.00000
81,69.44444,230.00000
82,69.44444,273.00000
83,81.00000,246.00000
84,81.00000,254.00000
85,82.39053,254.00000
86,82.50694,243.00000
87,82.39053,274.00000
88,82.50694,254.00000
89,81.00000,233.00000
90,82.50694,247.00000
91,82.50694,234.00000
92,82.81000,233.00000
93,82.50694,268.00000
94,82.39053,275.00000
95,82.39053,260.00000
96,82.39053,272.00000
97,82.39053,288.00000
98,83.01235,250.00000
99,82.39053,242.00000
100,82.50694,300.00000
101,82.81000,310.00000
102,82.64463,329.00000
103,82.81000,345.00000
104,82.81000,322.00000
105,83.01235,309.00000
106,82.81000,325.00000
107,83.59184,337.00000
108,83.59184,300.00000
109,84.02778,306.00000
110,85.56250,281.00000
111,85.56250,287.00000
112,87.11111,303.00000
113,90.25000,324.00000
114,90.25000,316.00000
115,100.00000,300.00000
116,100.91116,336.00000
117,100.95465,327.00000
118,101.00250,298.00000
119,101.00250,299.00000
120,101.05540,324.00000
121,101.00250,309.00000
122,101.05540,300.00000
123,101.11420,292.00000
124,101.11420,276.00000
125,101.11420,281.00000
126,101.11420,269.00000
127,101.05540,290.00000
128,101.11420,251.00000
129,101.17993,256.00000
130,101.25391,288.00000
131,101.25391,285.00000
132,101.33778,256.00000
133,101.43367,296.00000
134,101.54438,298.00000
135,101.82645,339.00000
136,102.23457,358.00000
137,102.51563,316.00000
138,102.87755,291.00000
139,102.87755,332.00000
140,102.87755,316.00000
141,103.36111,343.00000
142,104.04000,321.00000
143,105.06250,325.00000
144,106.77778,338.00000
145,110.25000,347.00000
146,110.25000,334.00000
147,121.00000,351.00000
148,121.00000,340.00000
149,144.00000,351.00000
150,132.25000,308.00000
151,144.00000,260.00000
