Generation,MaxFitness,SurvivedCount
0,0.02778,270.00000
1,0.04000,251.00000
2,0.06250,285.00000
3,0.11111,234.00000
4,0.25000,251.00000
5,1.00000,285.00000
6,1.36111,255.00000
7,1.44000,268.00000
8,1.56250,276.00000
9,1.77778,272.00000
10,2.25000,272.00000
11,4.00000,263.00000
12,5.06250,265.00000
13,5.44444,250.00000
14,6.25000,268.00000
15,9.00000,264.00000
16,10.02778,274.00000
17,10.24000,271.00000
18,10.56250,258.00000
19,10.56250,255.00000
20,11.11111,248.00000
21,12.25000,295.00000
22,16.00000,330.00000
23,16.00000,329.00000
24,17.16327,322.00000
25,17.36111,326.00000
26,17.64000,342.00000
27,18.06250,316.00000
28,18.77778,317.00000
29,20.25000,349.00000
30,25.00000,335.00000
31,26.01000,363.00000
32,26.12346,336.00000
33,26.12346,344.00000
34,26.26563,328.00000
35,26.69444,327.00000
36,27.04000,328.00000
37,27.56250,284.00000
38,27.56250,306.00000
39,28.44444,326.00000
40,30.25000,353.00000
41,28.44444,349.00000
42,30.25000,342.00000
43,36.00000,311.00000
44,39.06250,318.00000
45,40.11111,309.00000
46,42.25000,314.00000
47,49.00000,309.00000
48,49.00000,300.00000
49,50.56790,298.00000
50,50.76563,277.00000
51,50.76563,273.00000
52,51.02041,266.00000
53,51.02041,269.00000
54,51.02041,310.00000
55,51.36111,273.00000
56,51.84000,263.00000
57,51.36111,279.00000
58,51.84000,272.00000
59,51.36111,251.00000
60,51.36111,253.00000
61,51.36111,248.00000
62,51.36111,242.00000
63,51.36111,268.00000
64,51.02041,257.00000
65,51.02041,247.00000
66,51.36111,235.00000
67,51.36111,251.00000
68,53.77778,236.00000
69,51.84000,247.00000
70,52.56250,233.00000
71,53.77778,233.00000
72,52.56250,261.00000
73,52.56250,240.00000
74,56.25000,253.00000
75,64.00000,248.00000
76,64.00000,284.00000
77,65.61000,295.00000
78,64.00000,301.00000
79,65.61000,284.00000
80,66.01563,243.00000
81,65.79012,263.00000
82,65.79012,226.00000
83,65.79012,254.00000
84,66.30612,207.00000
85,66.01563,241.00000
86,66.01563,206.00000
87,65.79012,213.00000
88,66.01563,219.00000
89,66.01563,214.00000
90,66.01563,199.00000
91,66.01563,193.00000
92,66.30612,203.00000
93,66.01563,187.00000
94,66.01563,222.00000
95,66.01563,245.00000
96,66.01563,210.00000
97,66.01563,254.00000
98,66.01563,219.00000
99,65.79012,271.00000
100,66.01563,253.00000
101,65.79012,228.00000
102,65.79012,231.00000
103,66.01563,230.00000
104,66.01563,210.00000
105,66.30612,204.00000
106,66.30612,234.00000
107,65.79012,230.00000
108,66.01563,230.00000
109,66.30612,238.00000
110,65.79012,226.00000
111,65.79012,240.00000
112,66.01563,225.00000
113,65.79012,229.00000
114,66.01563,230.00000
115,66.01563,227.00000
116,66.01563,209.00000
117,66.01563,210.00000
118,66.69444,232.00000
119,66.01563,226.00000
120,66.30612,224.00000
121,66.30612,209.00000
122,66.30612,216.00000
123,66.30612,214.00000
124,66.01563,214.00000
125,66.30612,231.00000
126,66.01563,217.00000
127,66.30612,195.00000
128,66.69444,208.00000
129,66.30612,198.00000
130,66.30612,181.00000
131,66.69444,182.00000
132,66.01563,203.00000
133,66.01563,205.00000
134,66.30612,210.00000
135,66.30612,208.00000
136,66.30612,208.00000
137,66.30612,212.00000
138,66.69444,233.00000
139,66.01563,203.00000
140,66.30612,203.00000
141,66.30612,203.00000
142,66.30612,230.00000
143,66.30612,250.00000
144,66.01563,237.00000
145,66.01563,224.00000
146,66.30612,222.00000
147,65.79012,218.00000
148,66.30612,223.00000
149,66.30612,223.00000
150,66.01563,216.00000
151,65.79012,220.00000
152,66.01563,245.00000
153,66.01563,227.00000
154,66.30612,216.00000
155,66.01563,222.00000
156,65.79012,234.00000
157,66.30612,233.00000
158,66.01563,234.00000
159,65.79012,217.00000
160,65.79012,227.00000
161,65.79012,219.00000
162,65.79012,222.00000
163,66.01563,222.00000
164,66.01563,215.00000
165,66.01563,196.00000
166,65.79012,202.00000
167,65.79012,214.00000
168,65.46281,209.00000
169,65.23669,252.00000
170,65.23669,237.00000
171,65.34028,242.00000
172,65.34028,247.00000
173,65.34028,226.00000
174,65.34028,242.00000
175,65.34028,265.00000
176,65.23669,257.00000
177,65.23669,247.00000
178,65.34028,237.00000
179,65.23669,254.00000
180,65.34028,264.00000
181,65.34028,229.00000
182,65.34028,247.00000
183,65.61000,245.00000
184,65.46281,228.00000
185,65.46281,246.00000
186,65.61000,236.00000
187,65.79012,227.00000
188,65.61000,209.00000
189,65.79012,242.00000
190,66.69444,235.00000
191,66.69444,249.00000
192,67.24000,247.00000
193,67.24000,237.00000
194,66.69444,236.00000
195,67.24000,280.00000
196,67.24000,300.00000
197,68.06250,315.00000
198,69.44444,319.00000
199,69.44444,304.00000
