Generation,MaxFitness,SurvivedCount
0,1.36111,253.00000
1,1.44000,264.00000
2,1.56250,302.00000
3,1.77778,313.00000
4,2.25000,340.00000
5,4.00000,356.00000
6,5.44444,324.00000
7,6.25000,315.00000
8,9.00000,362.00000
9,10.56250,343.00000
10,11.11111,338.00000
11,12.25000,327.00000
12,16.00000,320.00000
13,16.67361,322.00000
14,16.73554,318.00000
15,16.81000,305.00000
16,16.90123,279.00000
17,17.01563,325.00000
18,17.16327,303.00000
19,17.36111,332.00000
20,17.36111,318.00000
21,17.64000,320.00000
22,18.06250,319.00000
23,18.77778,336.00000
24,20.25000,335.00000
25,25.00000,328.00000
26,30.25000,312.00000
27,36.00000,348.00000
28,37.21000,328.00000
29,37.34568,319.00000
30,37.34568,317.00000
31,37.34568,299.00000
32,37.34568,295.00000
33,37.51563,281.00000
34,37.51563,275.00000
35,37.51563,271.00000
36,37.51563,265.00000
37,37.34568,265.00000
38,37.51563,264.00000
39,37.73469,236.00000
40,37.73469,238.00000
41,37.21000,254.00000
42,37.34568,267.00000
43,37.21000,271.00000
44,37.51563,266.00000
45,37.21000,259.00000
46,37.34568,264.00000
47,37.21000,266.00000
48,37.21000,243.00000
49,37.21000,235.00000
50,37.34568,269.00000
51,37.21000,260.00000
52,37.34568,267.00000
53,37.34568,265.00000
54,37.51563,270.00000
55,37.51563,241.00000
56,37.73469,262.00000
57,38.02778,260.00000
58,38.02778,284.00000
59,38.44000,286.00000
60,40.11111,296.00000
61,40.11111,324.00000
62,40.11111,329.00000
63,42.25000,330.00000
64,49.00000,317.00000
65,50.00510,332.00000
66,50.08284,336.00000
67,50.17361,324.00000
68,50.17361,333.00000
69,50.28099,301.00000
70,50.17361,281.00000
71,50.28099,249.00000
72,50.41000,281.00000
73,50.56790,225.00000
74,50.41000,249.00000
75,50.56790,229.00000
76,50.56790,251.00000
77,50.76563,271.00000
78,50.76563,271.00000
79,50.76563,286.00000
80,51.36111,275.00000
81,51.84000,272.00000
82,52.56250,315.00000
83,53.77778,319.00000
84,53.77778,306.00000
85,56.25000,282.00000
86,64.00000,282.00000
87,56.25000,315.00000
88,64.00000,302.00000
89,65.79012,326.00000
90,65.79012,314.00000
91,66.01563,311.00000
92,66.30612,292.00000
93,66.30612,299.00000
94,66.69444,281.00000
95,66.69444,251.00000
96,66.69444,266.00000
97,66.69444,252.00000
98,67.24000,221.00000
99,67.24000,217.00000
100,68.06250,218.00000
101,69.44444,197.00000
102,66.69444,197.00000
103,67.24000,235.00000
104,68.06250,202.00000
105,68.06250,231.00000
106,67.24000,233.00000
107,68.06250,255.00000
108,69.44444,269.00000
109,81.00000,258.00000
110,69.44444,285.00000
111,81.00000,268.00000
112,85.56250,288.00000
113,85.56250,295.00000
114,83.26563,302.00000
115,90.25000,307.00000
116,87.11111,318.00000
117,85.56250,278.00000
118,85.56250,284.00000
119,85.56250,285.00000
120,87.11111,306.00000
121,84.64000,310.00000
122,84.64000,303.00000
123,84.64000,307.00000
124,87.11111,312.00000
125,84.02778,288.00000
126,84.64000,285.00000
127,84.64000,300.00000
128,84.64000,307.00000
129,85.56250,296.00000
130,84.64000,285.00000
131,85.56250,280.00000
132,85.56250,273.00000
133,85.56250,252.00000
134,100.00000,253.00000
135,90.25000,299.00000
136,100.00000,232.00000
137,100.00000,286.00000
138,105.06250,309.00000
139,105.06250,299.00000
140,105.06250,298.00000
141,105.06250,308.00000
142,106.77778,308.00000
143,105.06250,311.00000
144,110.25000,311.00000
145,105.06250,342.00000
146,106.77778,317.00000
147,110.25000,324.00000
148,110.25000,287.00000
149,110.25000,302.00000
150,110.25000,309.00000
151,121.00000,268.00000
152,121.00000,273.00000
153,110.25000,302.00000
154,110.25000,298.00000
155,110.25000,291.00000
156,121.00000,299.00000
157,122.84028,334.00000
158,122.84028,340.00000
159,123.00826,330.00000
160,123.21000,326.00000
161,123.00826,326.00000
162,123.21000,348.00000
163,123.21000,283.00000
164,123.45679,300.00000
165,123.45679,288.00000
166,123.76563,289.00000
167,123.45679,234.00000
168,124.16327,273.00000
169,124.16327,290.00000
170,124.16327,298.00000
171,124.69444,315.00000
172,124.69444,285.00000
173,125.44000,328.00000
174,125.44000,330.00000
175,125.44000,304.00000
176,126.56250,314.00000
177,126.56250,325.00000
178,126.56250,292.00000
179,128.44444,309.00000
180,128.44444,346.00000
181,132.25000,350.00000
182,144.00000,347.00000
183,144.00000,347.00000
184,144.00000,347.00000
185,144.00000,333.00000
186,144.00000,323.00000
187,144.00000,326.00000
188,144.00000,301.00000
